last_changed,state,entity_id
"2020-09-16 02:42:53.345288","{""sensor"":""HTU21"",""time"":542532009,""temp"":22.71298,""hum"":60.97845}",sensor.arduino_sensor
"2020-09-16 02:44:53.477619","{""sensor"":""HTU21"",""time"":542652193,""temp"":22.72371,""hum"":60.81824}",sensor.arduino_sensor
"2020-09-16 02:46:53.604975","{""sensor"":""HTU21"",""time"":542772281,""temp"":22.71298,""hum"":60.79535}",sensor.arduino_sensor
"2020-09-16 02:48:53.792195","{""sensor"":""HTU21"",""time"":542892456,""temp"":22.73443,""hum"":60.79535}",sensor.arduino_sensor
"2020-09-16 02:50:53.890410","{""sensor"":""HTU21"",""time"":543012615,""temp"":22.73443,""hum"":60.8335}",sensor.arduino_sensor
"2020-09-16 02:52:54.085133","{""sensor"":""HTU21"",""time"":543132780,""temp"":22.72371,""hum"":60.61987}",sensor.arduino_sensor
"2020-09-16 02:54:54.219281","{""sensor"":""HTU21"",""time"":543252913,""temp"":22.72371,""hum"":60.74957}",sensor.arduino_sensor
"2020-09-16 02:56:54.492962","{""sensor"":""HTU21"",""time"":543372983,""temp"":22.72371,""hum"":60.60461}",sensor.arduino_sensor
"2020-09-16 02:58:54.443025","{""sensor"":""HTU21"",""time"":543493145,""temp"":22.72371,""hum"":60.55884}",sensor.arduino_sensor
"2020-09-16 03:00:54.620050","{""sensor"":""HTU21"",""time"":543613290,""temp"":22.73443,""hum"":60.55884}",sensor.arduino_sensor
"2020-09-16 03:02:54.767719","{""sensor"":""HTU21"",""time"":543733487,""temp"":22.72371,""hum"":60.59698}",sensor.arduino_sensor
"2020-09-16 03:04:54.935005","{""sensor"":""HTU21"",""time"":543853662,""temp"":22.71298,""hum"":60.58173}",sensor.arduino_sensor
"2020-09-16 03:06:54.996270","{""sensor"":""HTU21"",""time"":543973703,""temp"":22.72371,""hum"":60.54358}",sensor.arduino_sensor
"2020-09-16 03:08:55.133918","{""sensor"":""HTU21"",""time"":544093867,""temp"":22.72371,""hum"":60.54358}",sensor.arduino_sensor
"2020-09-16 03:10:55.189292","{""sensor"":""HTU21"",""time"":544213868,""temp"":22.72371,""hum"":60.5741}",sensor.arduino_sensor
"2020-09-16 03:12:55.314183","{""sensor"":""HTU21"",""time"":544334032,""temp"":22.70226,""hum"":60.52069}",sensor.arduino_sensor
"2020-09-16 03:14:55.459544","{""sensor"":""HTU21"",""time"":544454176,""temp"":22.70226,""hum"":60.5741}",sensor.arduino_sensor
"2020-09-16 03:16:55.644263","{""sensor"":""HTU21"",""time"":544574297,""temp"":22.71298,""hum"":60.60461}",sensor.arduino_sensor
"2020-09-16 03:18:55.762897","{""sensor"":""HTU21"",""time"":544694492,""temp"":22.70226,""hum"":60.58936}",sensor.arduino_sensor
"2020-09-16 03:20:55.960642","{""sensor"":""HTU21"",""time"":544814670,""temp"":22.71298,""hum"":60.6275}",sensor.arduino_sensor
"2020-09-16 03:22:56.160775","{""sensor"":""HTU21"",""time"":544934864,""temp"":22.70226,""hum"":60.65802}",sensor.arduino_sensor
"2020-09-16 03:24:56.283002","{""sensor"":""HTU21"",""time"":545054999,""temp"":22.69153,""hum"":60.6275}",sensor.arduino_sensor
"2020-09-16 03:26:56.474374","{""sensor"":""HTU21"",""time"":545175183,""temp"":22.69153,""hum"":60.65802}",sensor.arduino_sensor
"2020-09-16 03:28:56.575305","{""sensor"":""HTU21"",""time"":545295280,""temp"":22.69153,""hum"":60.65802}",sensor.arduino_sensor
"2020-09-16 03:30:56.801949","{""sensor"":""HTU21"",""time"":545415454,""temp"":22.69153,""hum"":60.5741}",sensor.arduino_sensor
"2020-09-16 03:32:56.887942","{""sensor"":""HTU21"",""time"":545535629,""temp"":22.68081,""hum"":60.61987}",sensor.arduino_sensor
"2020-09-16 03:34:57.075114","{""sensor"":""HTU21"",""time"":545655786,""temp"":22.68081,""hum"":60.60461}",sensor.arduino_sensor
"2020-09-16 03:36:57.308089","{""sensor"":""HTU21"",""time"":545775976,""temp"":22.68081,""hum"":60.64276}",sensor.arduino_sensor
"2020-09-16 03:38:57.388944","{""sensor"":""HTU21"",""time"":545896072,""temp"":22.68081,""hum"":60.68854}",sensor.arduino_sensor
"2020-09-16 03:40:57.536796","{""sensor"":""HTU21"",""time"":546016211,""temp"":22.67008,""hum"":60.73431}",sensor.arduino_sensor
"2020-09-16 03:42:57.714881","{""sensor"":""HTU21"",""time"":546136380,""temp"":22.68081,""hum"":60.68854}",sensor.arduino_sensor
"2020-09-16 03:44:57.870401","{""sensor"":""HTU21"",""time"":546256571,""temp"":22.67008,""hum"":60.74957}",sensor.arduino_sensor
"2020-09-16 03:46:58.080654","{""sensor"":""HTU21"",""time"":546376759,""temp"":22.67008,""hum"":60.76483}",sensor.arduino_sensor
"2020-09-16 03:48:58.102533","{""sensor"":""HTU21"",""time"":546496777,""temp"":22.67008,""hum"":60.74194}",sensor.arduino_sensor
"2020-09-16 03:50:58.196324","{""sensor"":""HTU21"",""time"":546616848,""temp"":22.67008,""hum"":60.8335}",sensor.arduino_sensor
"2020-09-16 03:52:58.378519","{""sensor"":""HTU21"",""time"":546737004,""temp"":22.67008,""hum"":60.94794}",sensor.arduino_sensor
"2020-09-16 03:54:58.705415","{""sensor"":""HTU21"",""time"":546857177,""temp"":22.67008,""hum"":60.91742}",sensor.arduino_sensor
"2020-09-16 03:56:58.642739","{""sensor"":""HTU21"",""time"":546977368,""temp"":22.68081,""hum"":61.0166}",sensor.arduino_sensor
"2020-09-16 03:58:58.850616","{""sensor"":""HTU21"",""time"":547097568,""temp"":22.69153,""hum"":60.87927}",sensor.arduino_sensor
"2020-09-16 04:00:58.925683","{""sensor"":""HTU21"",""time"":547217646,""temp"":22.69153,""hum"":60.78009}",sensor.arduino_sensor
"2020-09-16 04:02:59.160633","{""sensor"":""HTU21"",""time"":547337816,""temp"":22.69153,""hum"":60.81061}",sensor.arduino_sensor
"2020-09-16 04:04:59.317299","{""sensor"":""HTU21"",""time"":547457994,""temp"":22.69153,""hum"":60.84113}",sensor.arduino_sensor
"2020-09-16 04:06:59.460667","{""sensor"":""HTU21"",""time"":547578148,""temp"":22.69153,""hum"":60.74194}",sensor.arduino_sensor
"2020-09-16 04:08:59.629879","{""sensor"":""HTU21"",""time"":547698325,""temp"":22.69153,""hum"":60.76483}",sensor.arduino_sensor
"2020-09-16 04:10:59.744397","{""sensor"":""HTU21"",""time"":547818458,""temp"":22.70226,""hum"":60.78009}",sensor.arduino_sensor
"2020-09-16 04:12:59.935182","{""sensor"":""HTU21"",""time"":547938631,""temp"":22.70226,""hum"":60.76483}",sensor.arduino_sensor
"2020-09-16 04:15:00.145090","{""sensor"":""HTU21"",""time"":548058832,""temp"":22.70226,""hum"":60.81824}",sensor.arduino_sensor
"2020-09-16 04:17:00.368135","{""sensor"":""HTU21"",""time"":548178979,""temp"":22.70226,""hum"":60.74194}",sensor.arduino_sensor
"2020-09-16 04:19:00.412050","{""sensor"":""HTU21"",""time"":548299110,""temp"":22.71298,""hum"":60.78772}",sensor.arduino_sensor
"2020-09-16 04:21:00.790806","{""sensor"":""HTU21"",""time"":548419229,""temp"":22.70226,""hum"":60.68091}",sensor.arduino_sensor
"2020-09-16 04:23:00.930612","{""sensor"":""HTU21"",""time"":548539405,""temp"":22.71298,""hum"":60.74957}",sensor.arduino_sensor
"2020-09-16 04:25:00.941690","{""sensor"":""HTU21"",""time"":548659558,""temp"":22.70226,""hum"":60.74957}",sensor.arduino_sensor
"2020-09-16 04:27:01.020669","{""sensor"":""HTU21"",""time"":548779743,""temp"":22.69153,""hum"":60.77246}",sensor.arduino_sensor
"2020-09-16 04:29:01.016145","{""sensor"":""HTU21"",""time"":548899746,""temp"":22.70226,""hum"":60.77246}",sensor.arduino_sensor
"2020-09-16 04:31:01.282864","{""sensor"":""HTU21"",""time"":549019921,""temp"":22.69153,""hum"":60.66565}",sensor.arduino_sensor
"2020-09-16 04:33:01.386727","{""sensor"":""HTU21"",""time"":549139992,""temp"":22.67008,""hum"":60.86401}",sensor.arduino_sensor
"2020-09-16 04:35:01.470661","{""sensor"":""HTU21"",""time"":549260139,""temp"":22.68081,""hum"":60.90216}",sensor.arduino_sensor
"2020-09-16 04:37:01.620698","{""sensor"":""HTU21"",""time"":549380273,""temp"":22.68081,""hum"":60.89453}",sensor.arduino_sensor
"2020-09-16 04:39:01.669460","{""sensor"":""HTU21"",""time"":549500393,""temp"":22.69153,""hum"":60.87164}",sensor.arduino_sensor
"2020-09-16 04:41:01.840630","{""sensor"":""HTU21"",""time"":549620553,""temp"":22.68081,""hum"":60.97083}",sensor.arduino_sensor
"2020-09-16 04:43:01.950678","{""sensor"":""HTU21"",""time"":549740620,""temp"":22.68081,""hum"":60.87164}",sensor.arduino_sensor
"2020-09-16 04:45:02.139258","{""sensor"":""HTU21"",""time"":549860786,""temp"":22.67008,""hum"":60.89453}",sensor.arduino_sensor
"2020-09-16 04:47:02.318388","{""sensor"":""HTU21"",""time"":549980942,""temp"":22.68081,""hum"":61.13867}",sensor.arduino_sensor
"2020-09-16 04:49:02.326018","{""sensor"":""HTU21"",""time"":550100953,""temp"":22.69153,""hum"":61.0929}",sensor.arduino_sensor
"2020-09-16 04:51:02.445231","{""sensor"":""HTU21"",""time"":550221114,""temp"":22.70226,""hum"":61.08527}",sensor.arduino_sensor
"2020-09-16 04:53:02.642981","{""sensor"":""HTU21"",""time"":550341193,""temp"":22.72371,""hum"":61.02423}",sensor.arduino_sensor
"2020-09-16 04:55:02.774739","{""sensor"":""HTU21"",""time"":550461366,""temp"":22.70226,""hum"":60.9632}",sensor.arduino_sensor
"2020-09-16 04:57:02.805453","{""sensor"":""HTU21"",""time"":550581519,""temp"":22.69153,""hum"":60.94031}",sensor.arduino_sensor
"2020-09-16 04:59:03.005061","{""sensor"":""HTU21"",""time"":550701706,""temp"":22.70226,""hum"":60.7038}",sensor.arduino_sensor
"2020-09-16 05:01:03.247211","{""sensor"":""HTU21"",""time"":550821882,""temp"":22.71298,""hum"":61.0166}",sensor.arduino_sensor
"2020-09-16 05:03:03.372954","{""sensor"":""HTU21"",""time"":550942076,""temp"":22.69153,""hum"":60.94031}",sensor.arduino_sensor
"2020-09-16 05:05:03.449605","{""sensor"":""HTU21"",""time"":551062139,""temp"":22.70226,""hum"":60.92505}",sensor.arduino_sensor
"2020-09-16 05:07:03.615664","{""sensor"":""HTU21"",""time"":551182305,""temp"":22.71298,""hum"":60.97083}",sensor.arduino_sensor
"2020-09-16 05:09:03.767226","{""sensor"":""HTU21"",""time"":551302442,""temp"":22.73443,""hum"":60.7572}",sensor.arduino_sensor
"2020-09-16 05:11:03.905485","{""sensor"":""HTU21"",""time"":551422593,""temp"":22.73443,""hum"":60.68854}",sensor.arduino_sensor
"2020-09-16 05:13:04.080662","{""sensor"":""HTU21"",""time"":551542762,""temp"":22.76661,""hum"":60.53595}",sensor.arduino_sensor
"2020-09-16 05:15:04.580079","{""sensor"":""HTU21"",""time"":551662869,""temp"":22.79878,""hum"":60.42914}",sensor.arduino_sensor
"2020-09-16 05:17:04.384547","{""sensor"":""HTU21"",""time"":551783028,""temp"":22.79878,""hum"":60.29944}",sensor.arduino_sensor
"2020-09-16 05:19:04.480623","{""sensor"":""HTU21"",""time"":551903133,""temp"":22.76661,""hum"":58.66675}",sensor.arduino_sensor
"2020-09-16 05:21:04.549572","{""sensor"":""HTU21"",""time"":552023266,""temp"":22.70226,""hum"":58.42261}",sensor.arduino_sensor
"2020-09-16 05:23:04.727221","{""sensor"":""HTU21"",""time"":552143399,""temp"":22.65936,""hum"":58.42261}",sensor.arduino_sensor
"2020-09-16 05:25:04.830780","{""sensor"":""HTU21"",""time"":552263473,""temp"":22.57356,""hum"":59.25421}",sensor.arduino_sensor
"2020-09-16 05:27:04.957813","{""sensor"":""HTU21"",""time"":552383617,""temp"":22.50921,""hum"":59.2771}",sensor.arduino_sensor
"2020-09-16 05:29:05.137791","{""sensor"":""HTU21"",""time"":552503755,""temp"":22.44486,""hum"":59.32288}",sensor.arduino_sensor
"2020-09-16 05:31:05.330853","{""sensor"":""HTU21"",""time"":552623927,""temp"":22.36978,""hum"":59.37628}",sensor.arduino_sensor
"2020-09-16 05:33:05.408242","{""sensor"":""HTU21"",""time"":552744082,""temp"":22.3376,""hum"":59.63568}",sensor.arduino_sensor
